,pv,load,pv_ev,pv_load,pv_grid,grid_ev,grid_load,ev_load,ev_grid ,y_buy,y_sell,y_ch,y_dis,avail,episode,soc
2020-09-10 20:00:00,0.0,1037.040278,<gurobi.Var pv_ev_1 (value 0.0)>,<gurobi.Var pv_load_1 (value 0.0)>,<gurobi.Var pv_grid_1 (value 0.0)>,<gurobi.Var grid_ev_1 (value 0.0)>,<gurobi.Var grid_load_1 (value 0.0)>,<gurobi.Var ev_load_1 (value 1037.040278)>,,,,<gurobi.Var y_ch_1 (value -0.0)>,<gurobi.Var y_dis_1 (value 1.0)>,1,1,0.4
2020-09-10 21:00:00,0.0,1092.4134080000001,"<gurobi.Var pv_ev[2020-09-10 21:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-10 21:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-10 21:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-10 21:00:00,0] (value 3700.0)>","<gurobi.Var grid_load[2020-09-10 21:00:00,0] (value 1092.4134080000001)>","<gurobi.Var ev_load[2020-09-10 21:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-10 21:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-10 21:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-10 21:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-10 21:00:00,0] (value 0.0)>",1,1,0.335184982625
2020-09-10 22:00:00,0.0,1080.702514,"<gurobi.Var pv_ev[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-10 22:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-10 22:00:00,0] (value 1080.702514)>",,"<gurobi.Var y_buy[2020-09-10 22:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-10 22:00:00,0] (value 1.0)>","<gurobi.Var y_ch[2020-09-10 22:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-10 22:00:00,0] (value 1.0)>",1,1,0.335184982625
2020-09-10 23:00:00,0.0,920.5418993999999,"<gurobi.Var pv_ev[2020-09-10 23:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-10 23:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-10 23:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-10 23:00:00,0] (value 3700.0)>","<gurobi.Var grid_load[2020-09-10 23:00:00,0] (value 920.5418993999999)>","<gurobi.Var ev_load[2020-09-10 23:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-10 23:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-10 23:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-10 23:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-10 23:00:00,0] (value 0.0)>",1,1,0.2
2020-09-11 00:00:00,0.0,660.3026499,"<gurobi.Var pv_ev[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 00:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 00:00:00,0] (value 660.3026499)>",,"<gurobi.Var y_buy[2020-09-11 00:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 00:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 00:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 00:00:00,0] (value 1.0)>",1,1,0.43125
2020-09-11 01:00:00,0.0,831.0111421,"<gurobi.Var pv_ev[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 01:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 01:00:00,0] (value 831.0111421)>",,"<gurobi.Var y_buy[2020-09-11 01:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 01:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 01:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 01:00:00,0] (value 1.0)>",1,1,0.38998108438125
2020-09-11 02:00:00,0.0,1365.934449,"<gurobi.Var pv_ev[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 02:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 02:00:00,0] (value 1365.934449)>",,"<gurobi.Var y_buy[2020-09-11 02:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 02:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 02:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 02:00:00,0] (value 1.0)>",1,1,0.338042888
2020-09-11 03:00:00,0.0,907.2416667000001,"<gurobi.Var pv_ev[2020-09-11 03:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 03:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 03:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 03:00:00,0] (value 3700.0)>","<gurobi.Var grid_load[2020-09-11 03:00:00,0] (value 907.2416667000001)>","<gurobi.Var ev_load[2020-09-11 03:00:00,0] (value 0.0)>",,"<gurobi.Var y_buy[2020-09-11 03:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 03:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 03:00:00,0] (value 1.0)>","<gurobi.Var y_dis[2020-09-11 03:00:00,0] (value 0.0)>",1,1,0.2526719849375
2020-09-11 04:00:00,0.0,784.1243017,"<gurobi.Var pv_ev[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var pv_grid[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 04:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 04:00:00,0] (value 784.1243017)>",,"<gurobi.Var y_buy[2020-09-11 04:00:00,0] (value -0.0)>","<gurobi.Var y_sell[2020-09-11 04:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 04:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 04:00:00,0] (value 1.0)>",1,1,0.32649530651875003
2020-09-11 05:00:00,123.0946942,701.1787709,"<gurobi.Var pv_ev[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var pv_load[2020-09-11 05:00:00,0] (value 123.0946942)>","<gurobi.Var pv_grid[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var grid_ev[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var grid_load[2020-09-11 05:00:00,0] (value 0.0)>","<gurobi.Var ev_load[2020-09-11 05:00:00,0] (value 578.0840767)>",,"<gurobi.Var y_buy[2020-09-11 05:00:00,0] (value 1.0)>","<gurobi.Var y_sell[2020-09-11 05:00:00,0] (value -0.0)>","<gurobi.Var y_ch[2020-09-11 05:00:00,0] (value -0.0)>","<gurobi.Var y_dis[2020-09-11 05:00:00,0] (value 1.0)>",1,1,0.2774875376625
