dt,$/MWh,buy,sell
01/01/2018 00:00,4.26,0.017175342,0.006133909
01/01/2018 01:00,12.87,0.051888884,0.018531317
01/01/2018 02:00,4.98,0.020078216,0.007170626
01/01/2018 03:00,1.05,0.004233359,0.001511879
01/01/2018 04:00,-24.5,-0.098778374,-0.035277178
01/01/2018 05:00,-33.43,-0.134782083,-0.048135349
01/01/2018 06:00,-9.33,-0.037616417,-0.013434125
01/01/2018 07:00,-9.74,-0.039269443,-0.014024478
01/01/2018 08:00,-2.84,-0.011450228,-0.004089273
01/01/2018 09:00,8.97,0.03616498,0.012915767
01/01/2018 10:00,7.07,0.028504616,0.010179986
01/01/2018 11:00,8.23,0.03318147,0.011850252
01/01/2018 12:00,6.63,0.026730637,0.009546436
01/01/2018 13:00,3.98,0.016046446,0.005730742
01/01/2018 14:00,7.09,0.028585252,0.010208783
01/01/2018 15:00,7.26,0.029270653,0.010453564
01/01/2018 16:00,11.12,0.044833286,0.016011519
01/01/2018 17:00,21.97,0.088577995,0.031634269
01/01/2018 18:00,58.46,0.235697295,0.084175666
01/01/2018 19:00,30.03,0.121074064,0.043239741
01/01/2018 20:00,63.17,0.254686933,0.090957523
01/01/2018 21:00,24.05,0.096964077,0.03462923
01/01/2018 22:00,26.15,0.105430795,0.037652988
01/01/2018 23:00,23,0.092730718,0.033117351
02/01/2018 00:00,9.54,0.038463089,0.013736501
02/01/2018 01:00,6.39,0.025763013,0.009200864
02/01/2018 02:00,7.69,0.031004314,0.011072714
02/01/2018 03:00,6.92,0.027899851,0.009964003
02/01/2018 04:00,8.92,0.035963392,0.012843772
02/01/2018 05:00,10.66,0.042978672,0.015349172
02/01/2018 06:00,21.06,0.084909084,0.030323974
02/01/2018 07:00,40.34,0.162641616,0.058084953
02/01/2018 08:00,45.92,0.185138894,0.06611951
02/01/2018 09:00,49.57,0.199854856,0.07137509
02/01/2018 10:00,46.21,0.186308108,0.066537077
02/01/2018 11:00,45.36,0.182881103,0.065313175
02/01/2018 12:00,45.98,0.185380801,0.066205904
02/01/2018 13:00,41.54,0.16747974,0.059812815
02/01/2018 14:00,41.68,0.168044188,0.060014399
02/01/2018 15:00,44.49,0.179373463,0.064060475
02/01/2018 16:00,51.8,0.208845704,0.074586033
02/01/2018 17:00,54.8,0.220941015,0.078905688
02/01/2018 18:00,54.86,0.221182921,0.078992081
02/01/2018 19:00,46.57,0.187759545,0.067055436
02/01/2018 20:00,43.17,0.174051526,0.062159827
02/01/2018 21:00,26.7,0.107648268,0.038444924
02/01/2018 22:00,30.86,0.124420433,0.044434845
02/01/2018 23:00,25.65,0.103414909,0.036933045
03/01/2018 00:00,24.82,0.10006854,0.035737941
03/01/2018 01:00,23.33,0.094061202,0.033592513
03/01/2018 02:00,34.89,0.140668468,0.050237581
03/01/2018 03:00,13.92,0.056122243,0.020043197
03/01/2018 04:00,45,0.181429666,0.064794816
03/01/2018 05:00,9.8,0.039511349,0.014110871
03/01/2018 06:00,20.35,0.082046527,0.029301656
03/01/2018 07:00,60.88,0.245454179,0.087660187
03/01/2018 08:00,58.55,0.236060154,0.084305256
03/01/2018 09:00,51.54,0.207797444,0.074211663
03/01/2018 10:00,50.73,0.20453171,0.073045356
03/01/2018 11:00,49.58,0.199895174,0.071389489
03/01/2018 12:00,46.85,0.188888441,0.067458603
03/01/2018 13:00,45.8,0.184655082,0.065946724
03/01/2018 14:00,46.36,0.186912873,0.06675306
03/01/2018 15:00,52.2,0.210458412,0.075161987
03/01/2018 16:00,51.22,0.206507277,0.0737509
03/01/2018 17:00,55.87,0.225255009,0.080446364
03/01/2018 18:00,57.1,0.230214087,0.082217423
03/01/2018 19:00,51.56,0.207878079,0.074240461
03/01/2018 20:00,49.06,0.197798653,0.070640749
03/01/2018 21:00,48.81,0.196790711,0.070280778
03/01/2018 22:00,50.02,0.201669153,0.072023038
03/01/2018 23:00,30.67,0.123654397,0.044161267
04/01/2018 00:00,5.13,0.020682982,0.007386609
04/01/2018 01:00,0.31,0.001249849,0.000446364
04/01/2018 02:00,0.88,0.003547958,0.001267099
04/01/2018 03:00,1.78,0.007176551,0.002562995
04/01/2018 04:00,4.43,0.017860743,0.00637869
04/01/2018 05:00,8.68,0.034995767,0.0124982
04/01/2018 06:00,23.2,0.093537072,0.033405328
04/01/2018 07:00,48.75,0.196548805,0.070194384
04/01/2018 08:00,51.14,0.206184736,0.073635709
04/01/2018 09:00,50.48,0.203523767,0.072685385
04/01/2018 10:00,49.12,0.19804056,0.070727142
04/01/2018 11:00,48.55,0.195742451,0.069906407
04/01/2018 12:00,47.34,0.190864008,0.068164147
04/01/2018 13:00,47.73,0.192436399,0.068725702
04/01/2018 14:00,46.27,0.186550014,0.06662347
04/01/2018 15:00,50.71,0.204451074,0.073016559
04/01/2018 16:00,51.46,0.207474902,0.074096472
04/01/2018 17:00,50.17,0.202273918,0.072239021
04/01/2018 18:00,50.83,0.204934887,0.073189345
04/01/2018 19:00,48.97,0.197435794,0.070511159
04/01/2018 20:00,47.78,0.192637987,0.068797696
04/01/2018 21:00,39.07,0.157521268,0.056256299
04/01/2018 22:00,27.5,0.110873685,0.039596832
04/01/2018 23:00,29.05,0.117122929,0.041828654
05/01/2018 00:00,42.28,0.17046325,0.06087833
05/01/2018 01:00,18.27,0.073660444,0.026306695
05/01/2018 02:00,40.77,0.164375277,0.058704104
05/01/2018 03:00,37.95,0.153005685,0.054643629
05/01/2018 04:00,36.83,0.148490102,0.053030958
05/01/2018 05:00,20.16,0.08128049,0.029028078
05/01/2018 06:00,35.45,0.142926259,0.051043916
05/01/2018 07:00,60.5,0.243922106,0.087113031
05/01/2018 08:00,50,0.201588518,0.07199424
05/01/2018 09:00,47.04,0.189654477,0.067732181
05/01/2018 10:00,48.01,0.193565295,0.06912887
05/01/2018 11:00,54.15,0.218320364,0.077969762
05/01/2018 12:00,51.26,0.206668548,0.073808495
05/01/2018 13:00,49.94,0.201346611,0.071907847
05/01/2018 14:00,50.19,0.202354554,0.072267819
05/01/2018 15:00,51.62,0.208119985,0.074326854
05/01/2018 16:00,53.23,0.214611136,0.076645068
05/01/2018 17:00,58.67,0.236543966,0.084478042
05/01/2018 18:00,59.15,0.238479216,0.085169186
05/01/2018 19:00,55.76,0.224811515,0.080287977
05/01/2018 20:00,44.08,0.177720437,0.063470122
05/01/2018 21:00,38.74,0.156190783,0.055781138
05/01/2018 22:00,41.44,0.167076563,0.059668826
05/01/2018 23:00,35.56,0.143369754,0.051202304
06/01/2018 00:00,28.64,0.115469903,0.041238301
06/01/2018 01:00,28.33,0.114220054,0.040791937
06/01/2018 02:00,26.54,0.107003185,0.038214543
06/01/2018 03:00,25.25,0.101802201,0.036357091
06/01/2018 04:00,24.3,0.09797202,0.034989201
06/01/2018 05:00,26.59,0.107204774,0.038286537
06/01/2018 06:00,29.35,0.11833246,0.042260619
06/01/2018 07:00,34.76,0.140144337,0.050050396
06/01/2018 08:00,32.04,0.129177922,0.046133909
06/01/2018 09:00,38.12,0.153691086,0.054888409
06/01/2018 10:00,38.74,0.156190783,0.055781138
06/01/2018 11:00,38.16,0.153852357,0.054946004
06/01/2018 12:00,37.74,0.152159013,0.054341253
06/01/2018 13:00,37.18,0.149901222,0.053534917
06/01/2018 14:00,35.76,0.144176108,0.051490281
06/01/2018 15:00,37.35,0.150586623,0.053779698
06/01/2018 16:00,37.54,0.151352659,0.054053276
06/01/2018 17:00,42.56,0.171592146,0.061281497
06/01/2018 18:00,47.92,0.193202435,0.06899928
06/01/2018 19:00,40.7,0.164093053,0.058603312
06/01/2018 20:00,44.85,0.1808249,0.064578834
06/01/2018 21:00,40.99,0.165262267,0.059020878
06/01/2018 22:00,42.63,0.17187437,0.061382289
06/01/2018 23:00,27.64,0.111438132,0.039798416
